time,000001.OF,000011.OF,000017.OF,000020.OF,000021.OF,000029.OF,000030.OF,000039.OF,000056.OF,000057.OF,000066.OF,000073.OF,000082.OF,000083.OF,000117.OF,000120.OF,000126.OF,000127.OF,000136.OF,000167.OF,000172.OF,000173.OF,000199.OF,000209.OF,000220.OF,000242.OF,000251.OF,000263.OF,000264.OF,000294.OF
20150331,22.941,21.671,20.278,19.619,23.255,19.864,20.722,19.767,18.233,17.812,19.886,19.525,19.319,22.311,20.602,18.36,21.632,20.831,18.639,20.01,21.873,22.584,18.091,17.909,20.017,20.691,22.57,21.95,20.173,18.573
20150630,22.786,21.473,19.793,20.186,23.024,19.669,20.657,20.496,18.118,17.829,19.856,19.47,19.108,22.187,21.405,18.195,21.333,20.493,19.466,20.032,21.981,22.362,17.999,17.716,20.992,19.768,22.109,21.821,20.019,18.741
20150930,22.465,21.184,18.836,19.919,22.64,19.27,20.562,20.152,17.7,17.428,19.617,18.984,18.945,21.716,20.959,17.751,20.994,20.218,19.605,19.377,21.519,21.735,17.664,17.081,21.349,19.486,21.239,21.463,19.578,18.454
20151231,22.53,21.412,19.031,20.252,22.853,19.327,20.962,20.297,17.82,17.648,19.613,19.203,19.622,21.888,21.165,17.961,21.031,20.702,20.22,19.589,21.827,21.998,18.035,17.474,21.679,19.574,21.573,21.797,19.822,19.042
20160331,22.36,21.342,18.731,19.976,22.679,19.141,20.877,20.146,17.785,17.375,19.552,18.995,19.127,21.573,20.836,17.734,20.939,20.735,20.479,19.409,21.481,21.746,17.9,17.34,21.5,19.473,21.22,21.014,19.535,18.761
20160630,22.358,21.363,18.751,19.7,22.672,19.201,22.31,20.208,17.985,17.308,21.539,19.014,20.309,21.577,20.907,17.762,22.326,20.79,20.536,19.261,21.474,21.791,17.858,17.328,21.326,19.32,20.996,20.939,19.666,18.823
20160930,22.351,21.383,18.63,19.739,22.648,19.059,22.24,20.107,17.948,17.224,21.539,18.937,20.037,21.554,20.878,17.72,22.317,20.833,20.985,19.345,21.594,21.691,17.735,17.177,21.011,19.425,21.247,21.065,19.517,18.675
20161231,22.274,21.353,18.524,19.623,22.589,19.045,22.18,20.028,17.966,17.121,21.526,18.858,19.987,21.489,20.826,17.708,22.28,20.796,20.865,19.164,21.896,21.576,17.583,17.104,20.716,19.265,21.121,20.875,19.392,18.55
20170331,22.333,21.447,18.559,19.712,22.615,19.134,22.13,20.018,18.014,17.142,21.514,18.932,20.209,21.606,21.172,17.712,22.246,21.489,20.623,19.209,22.264,21.557,17.833,17.042,20.594,21.321,21.401,20.728,19.38,18.505
20170630,22.354,21.583,19.11,19.981,22.631,19.221,21.983,20.004,17.992,17.158,21.322,18.964,20.126,21.817,21.248,17.73,22.171,21.313,20.514,19.567,22.211,21.6,17.8,17.005,20.519,19.436,21.507,20.66,19.31,18.467
20170930,22.361,21.629,19.111,19.873,22.636,19.31,21.892,19.946,18.144,17.198,20.959,19.386,20.109,21.803,20.907,17.664,21.992,21.102,20.585,20.315,22.633,21.609,17.401,16.929,20.488,19.431,21.658,20.305,19.338,19.056
20171231,22.33,21.843,19.023,20.21,22.596,19.565,21.735,19.88,18.331,17.496,20.939,19.552,19.987,22.111,20.768,17.699,21.859,21.17,20.439,20.682,22.342,21.663,17.761,16.787,20.402,19.611,21.441,20.204,19.382,18.756
20180331,22.285,22.006,18.956,20.418,22.522,19.824,21.581,19.84,18.206,17.459,20.905,19.792,19.816,22.204,20.492,17.581,21.685,21.338,20.415,20.654,22.318,21.919,17.777,16.731,20.625,19.477,21.483,20.13,19.359,18.651
20180630,22.222,22.021,18.844,20.96,22.424,19.667,21.41,19.751,18.174,17.474,20.663,19.649,19.648,22.226,20.451,17.483,21.492,21.371,20.384,20.272,22.427,22.04,17.592,16.513,21.208,19.095,21.434,19.997,19.287,18.76
20180930,22.176,21.995,19.149,20.14,22.337,19.295,21.334,19.671,18.085,17.415,20.662,19.451,19.922,22.142,20.366,17.427,21.436,21.355,20.344,20.044,22.427,21.916,17.781,16.418,21.048,19.007,21.53,19.909,19.157,18.668
20181231,22.124,21.931,18.573,19.992,22.229,19.258,21.289,19.563,17.991,17.324,20.654,19.261,19.972,21.998,20.257,17.341,21.386,21.278,20.055,19.751,22.129,21.792,17.733,16.309,20.928,18.897,21.807,19.841,19.104,18.526
20190331,22.331,22.137,18.82,20.053,22.448,19.264,21.234,19.722,18.081,17.447,20.653,19.442,20.143,22.328,20.538,17.507,21.367,21.29,20.047,19.483,22.349,22.332,17.82,16.511,21.031,19.101,21.962,20.247,19.274,18.849
20190630,22.274,22.37,18.598,19.849,22.372,19.21,19.629,19.595,18.052,18.256,18.029,19.355,20.766,22.598,20.609,17.464,19.201,21.167,19.808,19.541,22.356,22.751,17.652,16.389,21.126,19.017,22.038,20.087,19.266,20.049
20190930,22.244,22.343,18.667,20.164,22.418,19.578,19.483,19.664,18.08,18.778,18.495,19.465,20.658,22.736,20.607,18.789,19.239,21.034,19.989,19.788,21.898,22.722,17.705,16.442,20.937,18.989,22.121,20.549,19.263,19.88
20191231,22.249,22.422,18.838,20.504,22.502,19.708,19.483,19.697,18.143,18.794,18.627,19.496,20.2,22.838,20.571,18.691,19.186,21.327,20.178,19.847,21.917,22.505,18.694,16.53,20.973,18.93,22.491,20.609,19.318,20.277
20200331,22.203,22.032,18.759,20.915,22.44,19.935,19.386,19.866,17.968,17.739,18.463,19.518,19.965,22.763,20.392,17.75,19.135,21.212,20.938,19.534,21.838,22.049,18.092,16.389,21.391,18.862,22.225,20.491,19.295,20.813
20200630,22.344,22.103,18.99,21.118,22.654,20.454,19.475,19.855,18.15,18.028,18.454,19.837,19.785,23.173,20.55,17.833,19.374,21.351,21.272,19.777,21.517,22.009,18.042,16.499,21.633,19.042,22.181,20.648,19.447,21.736
20200930,22.332,22.313,19.357,21.331,22.63,20.302,19.369,19.575,18.186,17.893,17.749,19.765,20.013,23.525,20.425,17.743,19.58,21.278,21.872,19.773,21.475,21.773,18.157,16.711,21.402,19.21,22.699,20.834,19.483,21.899
20201231,22.294,22.689,20.756,21.302,22.815,20.382,19.406,19.559,18.284,17.991,17.746,19.87,20.13,23.597,20.59,18.0,19.795,21.466,21.89,20.148,21.333,21.764,19.156,18.958,21.415,19.261,23.057,21.985,19.656,21.958
20210331,22.175,22.393,20.129,21.358,22.658,20.162,19.277,19.182,18.162,17.465,18.427,19.736,19.668,23.649,20.458,17.749,19.515,21.398,21.833,20.146,20.985,21.368,19.12,19.834,21.218,19.321,22.897,21.966,19.456,21.726
20210630,22.211,22.474,20.006,21.399,22.741,19.997,19.358,19.356,18.202,17.994,18.436,20.026,20.168,23.779,20.691,17.818,20.45,21.197,21.932,20.278,21.154,21.458,19.404,21.141,21.39,19.774,22.79,22.122,19.666,21.878
20210930,22.08,22.47,19.648,21.211,22.684,20.062,19.244,19.394,18.068,18.342,18.31,19.888,20.266,23.766,20.4,17.877,20.834,20.956,21.77,19.993,20.874,21.353,19.655,23.045,21.353,21.076,22.536,21.783,19.643,21.534
20211231,22.028,22.412,19.464,21.226,22.733,20.366,19.233,19.56,18.158,18.198,18.345,19.844,20.436,23.808,20.275,17.868,21.117,20.929,21.783,19.799,20.946,21.349,19.308,23.061,21.281,21.4,22.701,21.733,19.774,21.58
20220331,21.877,22.167,19.157,20.942,22.505,20.207,18.994,19.459,17.92,18.296,18.121,19.529,20.275,23.584,20.062,17.731,21.018,20.69,21.583,19.58,21.222,21.147,19.042,22.68,21.126,21.421,22.689,21.538,19.475,21.363
20220630,21.932,22.309,19.29,20.97,22.578,20.271,19.064,19.54,18.033,18.42,18.087,19.666,20.403,23.758,19.984,17.76,21.282,20.825,21.65,19.718,21.234,21.255,18.794,22.622,21.257,21.272,22.655,21.633,19.511,21.807
20220930,21.899,22.116,19.09,20.851,22.445,20.273,18.88,19.339,17.901,17.864,18.068,19.501,20.242,23.606,19.788,17.583,20.976,20.723,21.477,19.525,21.278,21.153,18.599,22.376,20.986,20.873,22.559,21.412,19.386,22.044
20221231,21.87,22.116,18.689,20.456,22.398,20.255,18.822,19.292,17.943,17.91,18.083,19.427,20.292,23.632,19.849,17.594,20.654,20.639,21.4,19.42,21.303,21.061,18.855,22.31,21.115,20.791,22.523,21.407,19.264,22.161
